orig_index,raw_name,num_words,top20_candidates_with_score,possible_candidate,sex_at_birth,comment/reference,pronoun_denoting_gender,comment/reference,race_ethnicity,comment/reference,public_health_researcher,practitioner/clinician/physician,non_public_health_researcher,politician/govt service/policymaker,industry_expert,celebrity,journalist,comment/reference
0,a chris heath,3,"[('sharon a mcgrath morrow', 86), ('christ', 75), ('charissa cheah', 74), ('chris chen', 70), ('head', 68), ('chris craft', 67), ('chris hayes', 67), ('cara christ', 67), ('chris sale', 66), ('chris luke', 64), ('chris whitty', 64), ('chris dede', 64), ('christopher zahn', 62), ('chris kratochvil', 62), ('jean christophe lagier', 62), ('rachel thorn heathcock', 62), ('ashish jha', 61), ('heard garris', 61), ('chris braden', 61), ('andrea andrea crisanti', 60)]",SELF,Male,,He,,White/European,https://twitter.com/achrisheathmd,No,Yes,No,No,No,No,No,"Has an active license with texas medical board (K1467 Full Medical License, confirmed via texas medical board website)"
1,aaron adalja,2,"[('aaron pallas', 75), ('aaron glatt', 70), ('amesh a adalja', 69), ('adam', 68), ('azar', 68), ('alvaro alban', 67), ('aaron carroll', 64), ('aaron c davis', 64), ('abelardo avila', 62), ('jason adler', 61), ('diana adama', 61), ('arun sanyal', 61), ('aaron rupar', 61), ('ali', 60), ('ala', 60), ('aaron naeger', 58), ('aaron shakow', 58), ('kamiar alaei', 58), ('anthony almojera', 57), ('aaron milstone', 56)]",SELF,Male,,He,,South Asian,https://sha.cornell.edu/faculty-research/faculty/aaa362/,No,No,Yes,No,No,No,No,
2,aaron bernstein,2,"[('ronald brownstein', 75), ('john brownstein', 73), ('anna bershteyn', 69), ('azar', 68), ('adam rubinstein', 67), ('penny bornstein', 67), ('penny borenstein', 65), ('adam bernheim', 64), ('alan lerner', 62), ('alan berger', 62), ('aaron milstone', 62), ('burton bentley ii', 62), ('abe', 60), ('ari brown', 60), ('ala', 60), ('robert benjamin', 60), ('austin', 60), ('steven b abramson', 59), ('aaron reeves', 59), ('aaron naeger', 59)]",SELF,Male,,He,,White/European,https://www.hsph.harvard.edu/c-change/team/aaron-bernstein/,No,Yes,No,No,No,No,No,
3,aaron c davis,3,"[('davis', 90), ('marybeth davis baggett', 86), ('azar', 68), ('brian davis', 67), ('ron daniels', 67), ('aaron adalja', 64), ('david abramson', 64), ('david asman', 64), ('aaron pallas', 64), ('aaron reeves', 64), ('rob davidson', 64), ('anissa davis', 64), ('paul davis', 64), ('ron desantis', 64), ('david canon', 64), ('aaron carroll', 62), ('david archer', 61), ('ali', 60), ('ala', 60), ('carson', 60)]",SELF,Male,,He,,White/European,https://www.washingtonpost.com/people/aaron-c-davis/,No,No,No,No,No,No,Yes,
4,aaron carroll,2,"[('karen c carroll', 79), ('aaron pallas', 72), ('carre', 72), ('azar', 68), ('robin carre', 67), ('aaron rupar', 67), ('aaron adalja', 64), ('daron cowley', 64), ('aaron naeger', 64), ('aaron shakow', 64), ('mario alparone', 64), ('martin carballo', 64), ('clare farrell', 62), ('anthony cardillo', 62), ('alan campbell', 62), ('damian caraballo', 62), ('aaron c davis', 62), ('cao bin', 61), ('alta charo', 61), ('ala', 60)]",SELF,Male,,He,,White/European,https://medicine.iu.edu/faculty/3005/carroll-aaron,Yes,Yes,No,No,No,No,No,"https://twitter.com/aaronecarroll?lang=en, https://scholar.google.ca/citations?hl=en&user=VSMIIOkAAAAJ&view_op=list_works&sortby=pubdate"
5,aaron glatt,2,"[('aaron steckelberg', 86), ('aaron adalja', 70), ('aaron pallas', 70), ('azar', 68), ('aaron milstone', 64), ('robert glatter', 64), ('aaron rupar', 64), ('sharon goldfarb', 62), ('aaron naeger', 61), ('aaron shakow', 61), ('andy slavitt', 61), ('alvaro alban', 61), ('dario gil', 60), ('ala', 60), ('aaron reeves', 59), ('aaron carroll', 59), ('aaron bernstein', 59), ('aaron c davis', 59), ('itamar grotto', 58), ('alan kraut', 57)]",SELF,Male,,He,,White/European,https://www.southnassau.org/sn/find-a-doctor/glatt-aaron-e-md-facp-fidsa-fshea-chairman-departm-26,No,Yes,No,No,No,No,No,Also a Rabbi: https://www.torahinmotion.org/users/rabbi-dr-aaron-glatt
6,aaron milstone,2,"[('don milton', 75), ('carolyn maloney', 69), ('azar', 68), ('donald milton', 67), ('marci hamilton', 64), ('mark wilson', 64), ('moulton', 64), ('aaron glatt', 64), ('mariana chilton', 62), ('robin armstrong', 62), ('aaron naeger', 62), ('aaron bernstein', 62), ('aaron pallas', 62), ('aaron shakow', 62), ('rohan miller', 62), ('amy stone', 61), ('armstrong', 61), ('mario alparone', 61), ('ala', 60), ('marion nestle', 59)]",SELF,Male,,He,,White/European,https://williamsonmedicalcenter.org/physician/aaron-paul-milstone/,No,Yes,No,No,No,No,No,"There are multiple aaron milstone MDs, but all instances under google news seem to refer to the pulmonologist at Williamson Medical Center"
7,aaron naeger,2,"[('alan berger', 70), ('aaron rupar', 70), ('azar', 68), ('aaron reeves', 67), ('ann wagner', 64), ('aaron carroll', 64), ('anas nader', 64), ('alan erera', 64), ('marion nestle', 64), ('aaron milstone', 62), ('aaron steckelberg', 62), ('isaac ngere', 61), ('alan lerner', 61), ('jason adler', 61), ('peter navarro', 61), ('archon fung', 61), ('aaron glatt', 61), ('abe', 60), ('sharon a mcgrath morrow', 60), ('ala', 60)]",SELF,Male,,He,,White/European,https://weather.msfc.nasa.gov/sport/staff/naeger_aaron.html,No,No,Yes,No,No,No,No,
8,aaron pallas,2,"[('ron paul', 79), ('aaron adalja', 75), ('aaron carroll', 72), ('aaron rupar', 70), ('aaron glatt', 70), ('azar', 68), ('paul', 68), ('alvaro alban', 67), ('paula cannon', 64), ('aaron c davis', 64), ('jared a ellias', 62), ('aaron milstone', 62), ('abelardo avila', 62), ('robin patel', 61), ('ali', 60), ('ala', 60), ('amanda williams', 59), ('aaron reeves', 58), ('aaron naeger', 58), ('aaron shakow', 58)]",SELF,Male,,He,https://www.tc.columbia.edu/faculty/amp155/,White/European,https://scholar.google.com/citations?user=s6UPM0EAAAAJ,No,No,Yes,No,No,No,No,
9,aaron reeves,2,"[('ron yee', 77), ('tate reeves', 70), ('reed', 68), ('azar', 68), ('aaron naeger', 67), ('jason reed', 64), ('aaron c davis', 64), ('walberto reyes', 62), ('aaron steckelberg', 62), ('aaron rupar', 61), ('aurore', 60), ('ala', 60), ('aaron bernstein', 59), ('aaron glatt', 59), ('aaron shakow', 58), ('stuart reyes', 58), ('aaron pallas', 58), ('richard l revesz', 57), ('john reed', 57), ('margot roosevelt', 57)]",SELF,Male,,He,,White/European,https://www.sociology.ox.ac.uk/academic-staff/aaron-reeves.html,Yes,No,No,No,No,No,No,
10,aaron rupar,2,"[('aaron steckelberg', 86), ('aaron naeger', 70), ('aaron pallas', 70), ('azar', 68), ('aaron carroll', 67), ('aaron glatt', 64), ('ron paul', 63), ('ron hira', 63), ('arvind kumar', 61), ('ruth karron', 61), ('aaron adalja', 61), ('aaron reeves', 61), ('aaron shakow', 61), ('mario alparone', 61), ('anand parekh', 61), ('ala', 60), ('mark rupp', 60), ('richard carmona', 59), ('gerard anderson', 59), ('aaron milstone', 59)]",SELF,Male,,He,https://www.facebook.com/pg/atrupar/about/?ref=page_internal,White/European,https://www.vox.com/authors/aaron-rupar,No,No,No,No,No,No,Yes,Unsure if he should be classified as a public health researche - I have said yes for now; the publications are sporadic (last publication 2017). Currently Director for Healing Innitative at HMS: https://www.linkedin.com/in/aaronshakow/
11,aaron shakow,2,"[('daron shaw', 82), ('azar', 68), ('aaron carroll', 64), ('nayan shah', 64), ('aaron milstone', 62), ('robin shattock', 62), ('aaron glatt', 61), ('aaron rupar', 61), ('ala', 60), ('hai shao', 60), ('catriona saynor', 59), ('sharon nachman', 59), ('mario alparone', 59), ('alan dershowitz', 59), ('shawn evans', 58), ('aaron adalja', 58), ('shira doron', 58), ('aaron naeger', 58), ('aaron pallas', 58), ('aaron reeves', 58)]",SELF,Male,,He,,White/European,https://ghsm.hms.harvard.edu/faculty-staff/aaron-david-abraham-shakow,Yes,No,No,No,No,No,No,https://ghsm.hms.harvard.edu/faculty-staff/aaron-david-abraham-shakow
12,aaron steckelberg,2,"[('aaron glatt', 86), ('aaron rupar', 86), ('azar', 68), ('karl steinberg', 65), ('laurence steinberg', 63), ('aaron naeger', 62), ('apryl steele', 62), ('aaron reeves', 62), ('steven', 60), ('ala', 60), ('brian stelter', 60), ('abe', 60), ('ann keller', 59), ('steve adler', 58), ('aaron milstone', 58), ('arlene tickner', 58), ('alan berger', 57), ('aaron adalja', 56), ('john swartzberg', 56), ('aaron bernstein', 56)]",SELF,Male,,He,,White/European,https://www.washingtonpost.com/people/aaron-steckelberg/,No,No,No,No,No,No,Yes,
13,abbey hardy fairbanks,3,"[('w david hardy', 86), ('harry', 72), ('harry fay', 70), ('head', 68), ('howard forman', 62), ('ali', 60), ('fatima', 60), ('adrian', 60), ('ai', 60), ('han', 60), ('harvey', 60), ('aralen', 60), ('abe', 60), ('harry winer', 58), ('paul franks', 58), ('harvey karp', 58), ('abelardo avila', 57), ('frank farley', 57), ('amir ali', 56), ('mark ali', 56)]",SELF,Female,,She,https://medicine.uiowa.edu/psychiatry/content/lifeline-new-moms,White/European,https://medicine.uiowa.edu/obgyn/profile/abbey-hardy-fairbanks,Yes,Yes,No,No,No,No,No,
14,abbott,1,"[('sabra m abbott', 90), ('april abbott', 90), ('greg abbott', 90), ('abbott labs', 90), ('andrea gambotto', 75), ('lilian abbo', 72), ('abe', 60), ('bowale abimbola', 60), ('alex scott', 50), ('ann arbor', 50), ('arabia mollette', 48), ('asaf bitton', 47), ('aaron glatt', 47), ('ann bostrom', 47), ('andrew rambaut', 45), ('jenny abthorpe', 45), ('atul malhotra', 45), ('ai', 45), ('jim acosta', 45), ('andrew potter', 45)]",na,,,,,,,,,,,,,,
15,abbott labs,2,"[('abbott', 90), ('sabra m abbott', 68), ('april abbott', 67), ('greg abbott', 67), ('lilian abbo', 61), ('abe', 60), ('lamas', 60), ('ala', 60), ('brian labus', 55), ('albert williams', 54), ('lisa dabby', 54), ('tao lina', 53), ('dakotah lane', 52), ('aaron pallas', 52), ('o leary', 51), ('bowale abimbola', 51), ('alberto bisin', 50), ('xiaobo lu', 50), ('lisa lambert washington', 50), ('apostolos ampountolas', 50)]",na,,,,,,,,,,,,,,
16,abdu sharkawy,2,"[('rahul sharma', 64), ('david sherwyn', 62), ('amy', 60), ('abe', 60), ('abdul el sayed', 59), ('yasuyuki sahara', 57), ('rahuldeb sarkar', 57), ('amanda spray', 56), ('paul sax', 56), ('aaron shakow', 56), ('susan ray', 55), ('barbara sahakian', 55), ('sarah caddy', 55), ('safar', 54), ('gu su', 54), ('sarah cm', 53), ('hala sabry', 52), ('azadeh shirazi', 52), ('sara cody', 52), ('sonya babu narayan', 52)]",SELF,Male,,He,https://toronto.ctvnews.ca/infectious-disease-doctor-wouldn-t-rule-out-another-covid-19-lockdown-in-ontario-this-year-1.4981698,Middle Eastern,https://facdir.deptmedicine.utoronto.ca/Detail.aspx?id=1640&fromone=1,No,Yes,No,No,No,No,No,https://twitter.com/SharkawyMD
