orig_index,raw_name,num_words,top20_candidates_with_score,possible_candidate
14,abbott,1,"[('sabra m abbott', 90), ('april abbott', 90), ('greg abbott', 90), ('abbott labs', 90), ('andrea gambotto', 75), ('lilian abbo', 72), ('abe', 60), ('bowale abimbola', 60), ('alex scott', 50), ('ann arbor', 50), ('arabia mollette', 48), ('asaf bitton', 47), ('aaron glatt', 47), ('ann bostrom', 47), ('andrew rambaut', 45), ('jenny abthorpe', 45), ('atul malhotra', 45), ('ai', 45), ('jim acosta', 45), ('andrew potter', 45)]",sabra m abbott
19,abdullah abdullah,2,"[('noor hisham abdullah', 95), ('abdul el sayed', 61), ('abe', 60), ('ala', 60), ('nadia abuelezam', 56), ('adam douglas', 55), ('rami abdulrahman', 55), ('alfa saadu', 54), ('sayed attaullah sayedzai', 54), ('alan campbell', 53), ('amadou alpha sall', 53), ('abdul mabud chowdhury', 53), ('adam blake', 52), ('abelardo avila', 52), ('aliyah cardoza', 52), ('alfa sa', 51), ('lilian abbo', 50), ('danny avula', 50), ('bruce a elleman', 49), ('kathie allen', 48)]",noor hisham abdullah
20,abe,1,"[('abelardo avila', 90), ('shinzo abe', 90), ('isabelle amigues', 90), ('rabi abeyasinghe', 86), ('allison chamberlain', 60), ('david a nace', 60), ('jenny abthorpe', 60), ('naji abumrad', 60), ('adam bernheim', 60), ('abigail carlson', 60), ('alexander l greninger', 60), ('sue anne bell', 60), ('florence ader', 60), ('henry albrecht', 60), ('robert atmar', 60), ('fawziya abikar', 60), ('abhijit duggal', 60), ('alex brandonap', 60), ('jane ruth aceng', 60), ('anna goldfarb', 60)]",shinzo abe
26,abraham,1,"[('jonathan abraham', 90), ('abraham l newman', 90), ('jonatas abrahao', 77), ('adam', 68), ('allison brashear', 64), ('sabra m abbott', 64), ('steven b abramson', 64), ('marina abramovic', 64), ('david clara amit', 64), ('abraar karan', 64), ('andrea graham', 64), ('david abramson', 64), ('mohamed ali ibrahim', 64), ('sarah aitken', 64), ('jonathan abramowitz', 64), ('josh archambault', 64), ('abe', 60), ('amy', 60), ('azra ghani', 59), ('adhanom', 57)]",jonathan abraham
28,adam,1,"[('adam bernheim', 90), ('adam levitin', 90), ('diana adama', 90), ('adam j levitin', 90), ('adam wolanski', 90), ('adam blake', 90), ('adam kucharski', 90), ('adam schiff', 90), ('adam marshall', 90), ('adam rubinstein', 90), ('jerome adams', 90), ('beverley adams groom', 90), ('adam jarrett', 90), ('adam douglas', 90), ('adam collins', 90), ('adam schefter', 90), ('adam rosh', 90), ('adams dudley', 90), ('adam finn', 90), ('jerome m adams', 90)]",adam rubinstein
40,adam levitin,2,"[('adam j levitin', 95), ('adam', 90), ('adam kamradt scott', 86), ('daniel levitin', 77), ('levitan', 77), ('levin', 72), ('amler', 72), ('adams', 72), ('david levin', 70), ('david levine', 67), ('adam rubinstein', 67), ('hagai levine', 67), ('adam collins', 67), ('adam finn', 67), ('andrew levin', 67), ('sam lessin', 64), ('adam blake', 64), ('mark levin', 64), ('adam green', 64), ('marissa levine', 62)]",adam j levitin
49,adams,1,"[('jerome adams', 90), ('beverley adams groom', 90), ('adams dudley', 90), ('jerome m adams', 90), ('adam', 89), ('adarsh pratap singh', 72), ('adam bernheim', 72), ('adam levitin', 72), ('diana adama', 72), ('adam j levitin', 72), ('adam wolanski', 72), ('adam blake', 72), ('adam kucharski', 72), ('adam schiff', 72), ('adam marshall', 72), ('adam rubinstein', 72), ('adam jarrett', 72), ('adam douglas', 72), ('amiyatosh purnanandam', 72), ('adam collins', 72)]",beverley adams groom
54,adhanom,1,"[('tedros adhanom ghebreyesus', 90), ('tedros adhanom ghebreyesu', 90), ('tedros adhanom', 90), ('adhanom ghebreyesus', 90), ('tedros ahanom ghebreyesus', 77), ('adam', 73), ('adams', 67), ('adnan munkarah', 64), ('adriano decarli', 64), ('adrian', 62), ('abraham', 57), ('andrew chan', 56), ('jawad al bidhani', 56), ('ali khan', 53), ('ahmed rahman', 53), ('adam bernheim', 51), ('kranthi achanta', 51), ('adam levitin', 51), ('aruna ravichandran', 51), ('annika sridharan', 51)]",tedros adhanom ghebreyesus
55,adhanom ghebreyesus,2,"[('tedros adhanom ghebreyesus', 95), ('adhanom', 90), ('ghebreyesus', 90), ('tedros adhanom ghebreyesu', 82), ('tedros ahanom ghebreyesus', 82), ('tedros ghebreyesus', 76), ('adam', 68), ('tedros adhanom', 64), ('adam green', 62), ('abe', 60), ('adrian', 60), ('ann wagner', 54), ('jane greer', 54), ('adams', 54), ('mark green', 54), ('aaron reeves', 52), ('jordan asher', 52), ('abraham', 51), ('adrian bangerter', 51), ('al gore', 51)]",tedros adhanom ghebreyesus
60,adrian,1,"[('adrian bangerter', 90), ('adrian hyzler', 90), ('adriano decarli', 90), ('aruna ravichandran', 75), ('dorian alexander', 75), ('armand dorian', 75), ('mihran aroian', 75), ('diana adama', 71), ('aralen', 67), ('andrei lankov', 63), ('adhanom', 62), ('addison', 62), ('andrea crisanti', 60), ('mary anastasia o grady', 60), ('anita kurian', 60), ('alfredo garzino demo', 60), ('arvind kumar', 60), ('adam', 60), ('adnan munkarah', 60), ('katrina armstrong', 60)]",adrian bangerter
