orig_index,raw_name,num_words
0,a chris heath,3
1,aaron adalja,2
2,aaron bernstein,2
3,aaron c davis,3
4,aaron carroll,2
5,aaron glatt,2
6,aaron milstone,2
7,aaron naeger,2
8,aaron pallas,2
9,aaron reeves,2
10,aaron rupar,2
11,aaron shakow,2
12,aaron steckelberg,2
13,abbey hardy fairbanks,3
14,abbott,1
15,abbott labs,2
16,abdu sharkawy,2
17,abdul el sayed,3
18,abdul mabud chowdhury,3
19,abdullah abdullah,2
20,abe,1
21,abelardo avila,2
22,abhijit duggal,2
23,abi gewirtz,2
24,abigail carlson,2
25,abraar karan,2
26,abraham,1
27,abraham l newman,3
28,adam,1
29,adam bernheim,2
30,adam blake,2
31,adam collins,2
32,adam crum,2
33,adam douglas,2
34,adam finn,2
35,adam green,2
36,adam j levitin,3
37,adam jarrett,2
38,adam kamradt scott,3
39,adam kucharski,2
40,adam levitin,2
41,adam marshall,2
42,adam rosh,2
43,adam rubinstein,2
44,adam schechter,2
45,adam schefter,2
46,adam schiff,2
47,adam winkler,2
48,adam wolanski,2
49,adams,1
50,adams dudley,2
51,adarsh pratap singh,3
52,addison,1
53,adegoke oke,2
54,adhanom,1
55,adhanom ghebreyesus,2
56,adil el tayar,3
57,adisu kebede,2
58,adit ginde,2
59,adnan munkarah,2
60,adrian,1
61,adrian bangerter,2
62,adrian hyzler,2
63,adriano decarli,2
64,advertisement mark,2
65,aeroflow breastpumps,2
66,african american,2
67,afruz eslami,2
68,afshon ostovar,2
69,agnes buzyn,2
70,ahlul bayt,2
71,ahmed kazmi,2
72,ahmed rahman,2
73,ai,1
74,ai fen,2
75,aileen marty,2
76,aimee moulin,2
77,aimee sisson,2
78,ainsley earhardt,2
79,ajay kirtane,2
80,ajay kumar bharti,3
81,aki hiro sato,3
82,akiko iwasaki,2
83,al franken,2
84,al gore,2
85,al holland,2
86,ala,1
87,alaa swilam dubai,3
88,alain gauthier,2
89,alan berger,2
90,alan blinder,2
91,alan campbell,2
92,alan deardorff,2
93,alan dershowitz,2
94,alan erera,2
95,alan herman,2
96,alan jones,2
97,alan kraut,2
98,alan lerner,2
99,alan melnick,2
100,alan rowan,2
101,alan v deardorff,3
102,alan wu,2
103,albert chan,2
104,albert chang,2
105,albert ko,2
106,albert rizzo,2
107,albert williams,2
108,alberto bisin,2
109,alberto dicochea,2
110,alberto montaner,2
111,aldo munoz armenta,3
112,alec watson,2
113,alejandro macias,2
114,alessandro colombo,2
115,alessandro grimaldi,2
116,alessandro vespignani,2
117,alex,1
118,alex appolonia,2
119,alex azar,2
120,alex billioux,2
121,alex brandon,2
122,alex brandonap,2
123,alex george,2
124,alex greninger,2
125,alex horton,2
126,alex hsu,2
127,alex jahangir,2
128,alex marlow,2
129,alex r cook,3
130,alex scott,2
131,alex tabarrock,2
132,alex tsai,2
133,alex ward,2
134,alex wigglesworth,2
135,alexa mieses,2
136,alexander,1
137,alexander billioux,2
138,alexander edwards,2
139,alexander field,2
140,alexander halavais,2
141,alexander huang chieh cheng,4
142,alexander isakov,2
143,alexander kekule,2
144,alexander l greninger,3
145,alexander lukashenko,2
146,alexander morden,2
147,alexander scott,2
148,alexandra cirone,2
149,alexandra phelan,2
150,alexandra sacks,2
151,alexandre bayen,2
152,alexandre white,2
153,alexandria ocasio cortez,3
154,alexei navalny,2
155,alexey avdonin,2
156,alexia harrist,2
157,alexis mcgill johnson,3
158,alfa sa,2
159,alfa saadu,2
160,alfonso jimenez,2
161,alfonso xi,2
162,alfonso xi el cid,4
163,alfred,1
164,alfred kim,2
165,alfred m wu,3
166,alfredo garzino demo,3
167,ali,1
168,ali hassan,2
169,ali khan,2
170,ali mokdad,2
171,ali moktad,2
172,ali nouri,2
173,ali yusuf,2
174,alice miranda ollstein,3
175,alina alonso,2
176,aline holmes,2
177,alison barnett,2
178,alison bateman house,3
179,alison holman,2
180,alison pittard,2
181,alison sinclair,2
182,alison tothy,2
183,alison whelan,2
184,aliyah cardoza,2
185,allan lichtman,2
186,allan randrup thomsen,3
187,allen cheng,2
188,allen pietrobon,2
189,allen sills,2
190,allin khan,2
191,allison aiello,2
192,allison arwady,2
193,allison brashear,2
194,allison chamberlain,2
195,allison k hoffman,3
196,allison mcgeer,2
197,allon mordel,2
198,allyson pollock,2
199,alma moeller,2
200,alonso aguirre,2
201,alpesh amin,2
202,alpha fowler,2
203,alta charo,2
204,altaf saadi,2
205,alvaro alban,2
206,alvin tillery jr,3
207,alyssa,1
208,amadou alpha sall,3
209,aman pulungan,2
210,amanda mae simanek,3
211,amanda spray,2
212,amanda williams,2
213,amani ballour,2
214,ambrose otau talisuna,3
215,ambrose talisuna,2
216,amesh a adalja,3
217,amged el hawrani,3
218,ami jones,2
219,amir a afkhami,3
220,amir ali,2
221,amir attaran,2
222,amir khan,2
223,amir yaron,2
224,amira roess,2
225,amit uppal,2
226,amitava banerjee,2
227,amiyatosh purnanandam,2
228,amler,1
229,amy,1
230,amy action,2
231,amy acton,2
232,amy castro baker,3
233,amy cho,2
234,amy cohen,2
235,amy compton phillips,3
236,amy dalton,2
237,amy goldstein,2
238,amy herold,2
239,amy klobuchar,2
240,amy lessen,2
241,amy mathers,2
242,amy mcgrath,2
243,amy morrison,2
244,amy plasencia,2
245,amy r sapkota,3
246,amy robach,2
247,amy stone,2
248,ana maria henao restrepo,4
249,ana silvia gonzalez reiche,4
250,anahi ortiz,2
251,anand menon,2
252,anand parekh,2
253,anant agarwal,2
254,anant bhan,2
255,anas nader,2
256,anasse bari,2
257,anastasia miksyuk,2
258,anastasia vasilieva,2
259,anastasia vasilyeva,2
260,anat admati,2
261,anders tegnell,2
262,anderson,1
263,anderson cooper,2
264,andre kalil,2
265,andre sayegh,2
266,andrea andrea crisanti,3
267,andrea crisanti,2
268,andrea gambotto,2
269,andrea graham,2
270,andrea hricko,2
271,andrea mitchell,2
272,andrea vena,2
273,andreas zapf,2
274,andrei lankov,2
275,andres manuel lopez obrador,4
276,andrew bates,2
277,andrew beam,2
278,andrew blythe,2
279,andrew chan,2
280,andrew chesnut,2
281,andrew clark,2
282,andrew coggins,2
283,andrew coggins jr,3
284,andrew crane,2
285,andrew cuomo,2
286,andrew dowdle,2
287,andrew farmery,2
288,andrew foxall,2
289,andrew freedman,2
290,andrew gibson,2
291,andrew goethe,2
292,andrew hastie,2
293,andrew hughes,2
294,andrew jakubowicz,2
295,andrew janowski,2
296,andrew kipnis,2
297,andrew lakoff,2
298,andrew levin,2
299,andrew m cuomo,3
300,andrew marr programme,3
301,andrew mehle,2
302,andrew metrick,2
303,andrew miller,2
304,andrew montford,2
305,andrew muhammad,2
306,andrew norton,2
307,andrew noymer,2
308,andrew pekosz,2
309,andrew pollard,2
310,andrew potter,2
311,andrew preston,2
312,andrew rambaut,2
313,andrew roberston,2
314,andrew robertson,2
315,andrew rochford,2
316,andrew rudalevige,2
317,andrew saul,2
318,andrew selepak,2
319,andrew slattery,2
320,andrew stanley pekosz,3
321,andrew stephen,2
322,andrew tatem,2
323,andrew weber,2
324,andrew wehrman,2
325,andrew winton,2
326,andrew zimmerman,2
328,andy atkeson,2
329,andy dunn,2
330,andy knox,2
331,andy pekosz,2
332,andy slavitt,2
333,andy sumner,2
334,andy yap,2
335,angel almendros,2
336,angela b cornell,3
337,angela caliendo,2
338,angela charlton,2
339,angela cornell,2
340,angela gardner,2
341,angela hernandez,2
342,angela hewlett,2
343,angela merkel,2
344,angela mills,2
345,angela rasmussen,2
346,angela rippon,2
347,angela rogers,2
348,angela stuesse,2
349,angela yeh,2
350,angelo giupponi,2
351,angelo virgona,2
352,angie bone,2
353,angok gordon kuol,3
354,anish mahajan,2
355,anissa davis,2
356,anita allen,2
357,anita isaacs,2
358,anita juvvadi,2
359,anita kurian,2
360,anita kurlan,2
361,anita thomas,2
362,anjali talwalkar,2
363,ann arbor,2
364,ann bostrom,2
365,ann carlson,2
366,ann keller,2
367,ann leen,2
368,ann marie kimball,3
369,ann masten,2
370,ann wagner,2
371,anna bershteyn,2
372,anna gassman pines,3
373,anna goldfarb,2
374,anna hemming,2
375,anna kraczyna,2
376,anna yeung cheung,3
377,anne applebaum,2
378,anne deprince,2
379,anne grete hestnes,3
380,anne lashford,2
381,anne marie gloster,3
382,anne marie slaughter,3
383,anne mcclain,2
384,anne rimoin,2
385,anne schuchat,2
386,anne spaulding,2
387,anne w rimoin,3
388,anne walters,2
389,anne zink,2
390,annelies wilder smith,3
391,annie luetkemeyer,2
392,anniek de ruijter,3
393,annika sridharan,2
394,anthnony fauci,2
395,anthony,1
396,anthony almojera,2
397,anthony cardillo,2
398,anthony costello,2
399,anthony fauc,2
400,anthony fauci,2
401,anthony fehr,2
402,anthony fuaci,2
403,anthony kaveh,2
404,anthony kennedy,2
405,anthony kreis,2
406,anthony santella,2
407,anton sebastianpillai,2
408,antonia ho,2
409,antonio fatas,2
410,antonio pensenti,2
411,anupam jena,2
412,apostolos ampountolas,2
413,april abbott,2
414,april hansen,2
415,apryl steele,2
416,arabia mollette,2
417,aralen,1
418,arata yamamoto,2
419,archon fung,2
420,areema nasreen,2
421,ari brown,2
422,ari ercole,2
423,arieh warshel,2
424,arielle charnas,2
425,arif alvi,2
426,arindrajit dube,2
427,arinjay banerjee,2
428,aris katzourakis,2
429,arjun appadurai,2
430,arlene keeling,2
431,arlene tickner,2
432,armand dorian,2
433,armand sprecher,2
434,armida fernandez,2
435,armstrong,1
436,arne akbar,2
437,arnold hopland,2
438,arnold monto,2
439,arnold vargas gabrin,3
440,art caplan,2
441,art fougner,2
442,art mathisen,2
443,arthur caplan,2
444,arthur jey,2
445,arthur l reingold,3
446,arthur markman,2
447,arthur reingold,2
448,arturo bris,2
449,arturo casadevall,2
450,arturo vargas bustamante,3
451,artyom lukin,2
452,arun sanyal,2
453,aruna ravichandran,2
454,aruna subramanian,2
455,arvind kumar,2
456,arvind narayanan,2
457,arvind venkat,2
458,asa hutchinson,2
459,asaf bitton,2
460,asawin suebsaeng,2
461,asher hildebrand,2
462,ashish jha,2
463,ashleigh tuite,2
464,ashley arn,2
465,ashley bautista,2
466,ashley bloomfield,2
467,ashley hockycko,2
468,ashoka mody,2
469,ashraf al qedra,3
470,ashraf ghani,2
471,ashwin vasan,2
472,asif noor,2
473,asim shah,2
474,asma adnane,2
475,ateev mehrotra,2
476,atheendar venkataramani,2
477,atiya mosam,2
478,attila hertelendy,2
479,atul gawande,2
480,atul grover,2
481,atul kulkarni,2
482,atul malhotra,2
483,aubree gordon,2
484,aubrey tabb,2
485,audiey kao,2
486,aurora expeditions,2
487,aurore,1
488,austan goolsbee,2
489,austin,1
490,ava louise,2
491,avril benoit,2
492,axios,1
493,aya healthcare,2
494,ayache,1
495,ayatollah ali khamenei,3
496,azadeh shirazi,2
497,azar,1
498,aziza ahmed,2
499,azra ghani,2
500,babafemi taiwo,2
501,bahar gholipour,2
502,bakker,1
503,bala hota,2
504,baliga nagar,2
505,balram bhargava,2
506,bao ping zhu,3
507,barack obama,2
508,barbara dipietro,2
509,barbara ferrer,2
510,barbara l horn,3
511,barbara lee,2
512,barbara meinke,2
513,barbara o connor,3
514,barbara osborne,2
515,barbara sahakian,2
516,barbara stengel,2
517,barbara yaffe,2
518,barney graham,2
519,barr,1
520,barry bloom,2
521,barry eichengreen,2
522,baruch fertel,2
523,baruch fischhoff,2
524,baruch lev,2
525,barun mathema,2
526,batchlor,1
527,bayard winthrop,2
528,beatrice hahn,2
529,beatriz perondi,2
530,beck bennett,2
531,becky kennedy,2
532,bela matyas,2
533,belal muhammad,2
534,belo horizonte,2
535,ben carson,2
536,ben chavula,2
537,ben labrot,2
538,ben mcadams,2
539,ben musser,2
540,ben singer,2
541,ben waxman,2
542,benhur lee,2
543,benjamin bacon,2
544,benjamin brunjes,2
545,benjamin chan,2
546,benjamin chapman,2
547,benjamin clark,2
548,benjamin cowie,2
549,benjamin cowling,2
550,benjamin dalziel,2
551,benjamin f miller,3
552,benjamin lopman,2
553,benjamin neuman,2
554,benjamin schwartz,2
555,benjamin singer,2
556,benjamin sommers,2
557,benjamin tausig,2
558,benjamin weston,2
559,benjamin wyler,2
560,benjamin zipursky,2
561,bennie thompson,2
562,benny mathew,2
563,benny peiser,2
564,bernard camins,2
565,bernard devalois,2
566,bernard kouchner,2
567,bernard olayo,2
568,bernard wood,2
569,bernie sanders,2
570,bessey e geevarghese,3
571,beth davidow,2
572,beth emhoff,2
573,beth potter,2
574,beth seidenberg,2
575,bethan webber,2
576,bethany rittle johnson,3
577,betsey stevenson,2
578,beverley adams groom,3
579,bharat pankhania,2
580,bharat pankhankia,2
581,bhasha mukherjee,2
582,bhramar mukherjee,2
583,biden,1
584,bill,1
585,bill barr,2
586,bill bennett,2
587,bill bowtell,2
588,bill cassidy,2
589,bill castellano,2
590,bill clinton,2
591,bill de blasio,3
592,bill english,2
593,bill gates,2
594,bill hanage,2
595,bill hemmer,2
596,bill maher,2
597,bill morice,2
598,bill robinson,2
599,bill wuest,2
600,billie eilish,2
601,billy graham,2
602,birx,1
603,bloomberg,1
604,bloomfield,1
605,bob chapek,2
606,bob cooper,2
607,bob dannenhoffer,2
608,bob egelko,2
609,bob harrington,2
610,bob iger,2
611,bob lahita,2
612,bob marley,2
613,bob morris,2
614,bob phibbs,2
615,bob saynor,2
616,bob shrum,2
617,bob wachter,2
618,bob watcher,2
619,bobby mukkamala,2
620,bolton,1
621,bonnie berkowitz,2
622,bonnie henry,2
623,bonnie maldonado,2
624,boris johnson,2
625,boris lushniak,2
626,bouey,1
627,bowale abimbola,2
628,bowman,1
629,brad bell,2
630,brad carson,2
631,brad cornell,2
632,brad younggren,2
633,bradley jensen murg,3
634,bradley riemann,2
635,bradley staats,2
636,brandon brown,2
637,brandon rottinghaus,2
638,brendan crabb,2
639,brendan murphy,2
640,brendan rynne,2
641,brendan smialowski,2
642,brendan wren,2
643,brennan spiegel,2
644,bret baier,2
645,bret bennington,2
646,bret rudy,2
647,bret stephens,2
648,brett crozier,2
649,brett giroir,2
650,brett litz,2
651,brett oliver,2
652,brett p giroir,3
653,brett sutton,2
654,bria coates,2
655,brian bird,2
656,brian bossak,2
657,brian castrucci,2
