orig_index,disambiguated_entity,disambiguated_entity_id,sex_at_birth,comment/reference,pronoun_denoting_gender,comment/reference.1,race_ethnicity,comment/reference.2,public_health_researcher,practitioner/clinician/physician,non_public_health_researcher,politician/govt service/policymaker,industry_expert,celebrity,journalist,comment/reference.3
0,a chris heath,1066385753,Male,,He,,White/European,https://twitter.com/achrisheathmd,No,Yes,No,No,No,No,No,"Has an active license with texas medical board (K1467 Full Medical License, confirmed via texas medical board website)"
1,aaron adalja,375375792,Male,,He,,South Asian,https://sha.cornell.edu/faculty-research/faculty/aaa362/,No,No,Yes,No,No,No,No,
2,aaron bernstein,3446614910,Male,,He,,White/European,https://www.hsph.harvard.edu/c-change/team/aaron-bernstein/,No,Yes,No,No,No,No,No,
3,aaron c davis,199424035,Male,,He,,White/European,https://www.washingtonpost.com/people/aaron-c-davis/,No,No,No,No,No,No,Yes,
4,aaron carroll,387896481,Male,,He,,White/European,https://medicine.iu.edu/faculty/3005/carroll-aaron,Yes,Yes,No,No,No,No,No,"https://twitter.com/aaronecarroll?lang=en, https://scholar.google.ca/citations?hl=en&user=VSMIIOkAAAAJ&view_op=list_works&sortby=pubdate"
5,aaron glatt,2199605021,Male,,He,,White/European,https://www.southnassau.org/sn/find-a-doctor/glatt-aaron-e-md-facp-fidsa-fshea-chairman-departm-26,No,Yes,No,No,No,No,No,Also a Rabbi: https://www.torahinmotion.org/users/rabbi-dr-aaron-glatt
6,aaron milstone,2408514349,Male,,He,,White/European,https://williamsonmedicalcenter.org/physician/aaron-paul-milstone/,No,Yes,No,No,No,No,No,"There are multiple aaron milstone MDs, but all instances under google news seem to refer to the pulmonologist at Williamson Medical Center"
7,aaron naeger,1815177879,Male,,He,,White/European,https://weather.msfc.nasa.gov/sport/staff/naeger_aaron.html,No,No,Yes,No,No,No,No,
8,aaron pallas,222194291,Male,,He,https://www.tc.columbia.edu/faculty/amp155/,White/European,https://scholar.google.com/citations?user=s6UPM0EAAAAJ,No,No,Yes,No,No,No,No,
9,aaron reeves,813583036,Male,,He,,White/European,https://www.sociology.ox.ac.uk/academic-staff/aaron-reeves.html,Yes,No,No,No,No,No,No,
10,aaron rupar,2578194842,Male,,He,https://www.facebook.com/pg/atrupar/about/?ref=page_internal,White/European,https://www.vox.com/authors/aaron-rupar,No,No,No,No,No,No,Yes,Unsure if he should be classified as a public health researche - I have said yes for now; the publications are sporadic (last publication 2017). Currently Director for Healing Innitative at HMS: https://www.linkedin.com/in/aaronshakow/
11,aaron shakow,497672211,Male,,He,,White/European,https://ghsm.hms.harvard.edu/faculty-staff/aaron-david-abraham-shakow,Yes,No,No,No,No,No,No,https://ghsm.hms.harvard.edu/faculty-staff/aaron-david-abraham-shakow
12,aaron steckelberg,2122394301,Male,,He,,White/European,https://www.washingtonpost.com/people/aaron-steckelberg/,No,No,No,No,No,No,Yes,
13,abbey hardy fairbanks,2037608169,Female,,She,https://medicine.uiowa.edu/psychiatry/content/lifeline-new-moms,White/European,https://medicine.uiowa.edu/obgyn/profile/abbey-hardy-fairbanks,Yes,Yes,No,No,No,No,No,
16,abdu sharkawy,2281101503,Male,,He,https://toronto.ctvnews.ca/infectious-disease-doctor-wouldn-t-rule-out-another-covid-19-lockdown-in-ontario-this-year-1.4981698,Middle Eastern,https://facdir.deptmedicine.utoronto.ca/Detail.aspx?id=1640&fromone=1,No,Yes,No,No,No,No,No,https://twitter.com/SharkawyMD
17,abdul el sayed,2320021325,Male,,He,,Middle Eastern,https://abdulelsayed.com/about,Yes,Yes,No,Yes,No,No,No,
18,abdul mabud chowdhury,3379078078,Male,,He,,South Asian,https://www.bbc.com/news/uk-england-london-52242516,No,Yes,No,No,No,No,No,"Sadly, deceased due to COVID-19 (news appears reporting his death), should the name still be included? I would think no.  "
19,abdullah abdullah,3126793834,Male,,He,,Middle Eastern,https://en.wikipedia.org/wiki/Abdullah_Abdullah,No,No,No,Yes,No,No,No,
21,abelardo avila,702769743,Male,,He,https://translate.google.com/translate?hl=en&sl=es&u=http://www.innsz.mx/Investigacion/investigador.jsp%3Fid%3D90&prev=search,Latinx,https://www.youtube.com/watch?v=myX77W74y-Y,Yes,No,No,No,No,No,No,https://www.researchgate.net/scientific-contributions/7556680_A_Avila-Curiel
