orig_index,raw_name,num_words,top20_candidates_with_score,possible_candidate,sex_at_birth,comment/reference,pronoun_denoting_gender,comment/reference.1,race_ethnicity,comment/reference.2,public_health_researcher,practitioner/clinician/physician,non_public_health_researcher,politician/govt service/policymaker,industry_expert,celebrity,journalist,comment/reference.3
14,abbott,1,"[('sabra m abbott', 90), ('april abbott', 90), ('greg abbott', 90), ('abbott labs', 90), ('andrea gambotto', 75), ('lilian abbo', 72), ('abe', 60), ('bowale abimbola', 60), ('alex scott', 50), ('ann arbor', 50), ('arabia mollette', 48), ('asaf bitton', 47), ('aaron glatt', 47), ('ann bostrom', 47), ('andrew rambaut', 45), ('jenny abthorpe', 45), ('atul malhotra', 45), ('ai', 45), ('jim acosta', 45), ('andrew potter', 45)]",na,,,,,,,,,,,,,,
15,abbott labs,2,"[('abbott', 90), ('sabra m abbott', 68), ('april abbott', 67), ('greg abbott', 67), ('lilian abbo', 61), ('abe', 60), ('lamas', 60), ('ala', 60), ('brian labus', 55), ('albert williams', 54), ('lisa dabby', 54), ('tao lina', 53), ('dakotah lane', 52), ('aaron pallas', 52), ('o leary', 51), ('bowale abimbola', 51), ('alberto bisin', 50), ('xiaobo lu', 50), ('lisa lambert washington', 50), ('apostolos ampountolas', 50)]",na,,,,,,,,,,,,,,
26,abraham,1,"[('jonathan abraham', 90), ('abraham l newman', 90), ('jonatas abrahao', 77), ('adam', 68), ('allison brashear', 64), ('sabra m abbott', 64), ('steven b abramson', 64), ('marina abramovic', 64), ('david clara amit', 64), ('abraar karan', 64), ('andrea graham', 64), ('david abramson', 64), ('mohamed ali ibrahim', 64), ('sarah aitken', 64), ('jonathan abramowitz', 64), ('josh archambault', 64), ('abe', 60), ('amy', 60), ('azra ghani', 59), ('adhanom', 57)]",na,,,,,,,,,,,,,No,
28,adam,1,"[('adam bernheim', 90), ('adam levitin', 90), ('diana adama', 90), ('adam j levitin', 90), ('adam wolanski', 90), ('adam blake', 90), ('adam kucharski', 90), ('adam schiff', 90), ('adam marshall', 90), ('adam rubinstein', 90), ('jerome adams', 90), ('beverley adams groom', 90), ('adam jarrett', 90), ('adam douglas', 90), ('adam collins', 90), ('adam schefter', 90), ('adam rosh', 90), ('adams dudley', 90), ('adam finn', 90), ('jerome m adams', 90)]",na,,,,,,,,,,,,,,
31,adam collins,2,"[('adam', 90), ('adam kamradt scott', 86), ('michael collins fauci', 86), ('doug collins', 75), ('adam wolanski', 72), ('adams', 72), ('collins anyachi', 70), ('adam levitin', 67), ('adam douglas', 67), ('adam finn', 67), ('adam rosh', 67), ('amy cho', 64), ('alice miranda ollstein', 63), ('adam j levitin', 62), ('jared a ellias', 62), ('andrew coggins', 62), ('kent collin', 61), ('adam schiff', 61), ('colin camerer', 61), ('ali', 60)]",na,,,,,,,,,,,,,,No obvious match for adam collins.
33,adam douglas,2,"[('adam', 90), ('adam kamradt scott', 86), ('adam wolanski', 72), ('adams', 72), ('douglas brinkley', 70), ('josh douglas', 70), ('douglas drevets', 70), ('douglas white', 70), ('douglas woods', 70), ('joshua douglas', 70), ('douglas senderoff', 70), ('adam collins', 67), ('adam rosh', 67), ('adams dudley', 67), ('adam blake', 64), ('adam kucharski', 62), ('elizabeth douglass', 60), ('don', 60), ('amy', 60), ('ala', 60)]",na,,,,,,,,,,,,,,"No obvious match for adam douglas, even through Google News. Only recent mention appears to be ""Sunshine Coast doctors Adam Douglas and Meagan Thomson can't get a flight out of Ecuador after the country closed its borders due to coronavirus concerns."" source: https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=2ahUKEwjBoc2L5MLpAhUIXc0KHQnXB-4QFjABegQIARAB&url=https%3A%2F%2Fwww.dailyexaminer.com.au%2Fnews%2Fbring-us-home-so-we-can-help-stranded-doctors-plea%2F3978072%2F&usg=AOvVaw1HZEsuEXjgrSgIZrKIPKCb"
35,adam green,2,"[('adam', 90), ('adam rubinstein', 86), ('adam kamradt scott', 86), ('donna green', 76), ('david greenberg', 72), ('adams', 72), ('mark green', 70), ('samuel greene', 70), ('michael green', 64), ('adam levitin', 64), ('mark greeven', 64), ('josh green', 64), ('adam jarrett', 64), ('lauren green', 64), ('catriona greenwood', 63), ('beverley adams groom', 63), ('adam rosh', 63), ('richard grenell', 63), ('adam finn', 63), ('adam crum', 63)]",na,,,,,,,,,,,,,,"No obvious matches for adam green; There are multiple MDs and Google News Search only leads to the American singer-songwriter or ""Adam Green, a co-founder of the Progressive Change Campaign Committee"""
49,adams,1,"[('jerome adams', 90), ('beverley adams groom', 90), ('adams dudley', 90), ('jerome m adams', 90), ('adam', 89), ('adarsh pratap singh', 72), ('adam bernheim', 72), ('adam levitin', 72), ('diana adama', 72), ('adam j levitin', 72), ('adam wolanski', 72), ('adam blake', 72), ('adam kucharski', 72), ('adam schiff', 72), ('adam marshall', 72), ('adam rubinstein', 72), ('adam jarrett', 72), ('adam douglas', 72), ('amiyatosh purnanandam', 72), ('adam collins', 72)]",na,,,,,,,,,,,,,,
52,addison,1,"[('anderson', 67), ('allison chamberlain', 64), ('alison sinclair', 64), ('marc alain widdowson', 64), ('alison whelan', 64), ('allison brashear', 64), ('allison aiello', 64), ('allison mcgeer', 64), ('allison k hoffman', 64), ('alison tothy', 64), ('alison pittard', 64), ('alison barnett', 64), ('alison holman', 64), ('geoffrey annison', 64), ('alison bateman house', 64), ('allison arwady', 64), ('adrian', 62), ('nusheen ameenuddin', 60), ('andrew gibson', 60), ('gerard anderson', 55)]",na,,,,,,,,,,,,,,
60,adrian,1,"[('adrian bangerter', 90), ('adrian hyzler', 90), ('adriano decarli', 90), ('aruna ravichandran', 75), ('dorian alexander', 75), ('armand dorian', 75), ('mihran aroian', 75), ('diana adama', 71), ('aralen', 67), ('andrei lankov', 63), ('adhanom', 62), ('addison', 62), ('andrea crisanti', 60), ('mary anastasia o grady', 60), ('anita kurian', 60), ('alfredo garzino demo', 60), ('arvind kumar', 60), ('adam', 60), ('adnan munkarah', 60), ('katrina armstrong', 60)]",na,,,,,,,,,,,,,,
