disambiguated_entity_id,entity_name,number_of_unique_news_appeared_in
582997773,anthony fauci,1455
3965079860,deborah l birx,467
2099344537,donald trump,427
85896933,nancy messonnier,317
43133256,bruce aylward,285
1591549103,peter horby,281
3602808180,michael skinner,273
2705532516,helena maier,271
432873787,mike ryan,215
3199289592,tedros adhanom ghebreyesus,211
707318531,william schaffner,153
2323358483,maria van kerkhove,91
293923066,mike pence,88
2419576861,robert r redfield,87
239897052,jerome m adams,85
3595171670,sarah cody,76
3138278937,andrew m cuomo,69
2799153759,paul hunter,69
2857277559,jeffrey duchin,63
1079774693,stephen m hahn,59
296726481,lawrence o gostin,59
43674942,sanjay gupta,58
623299733,barbara ferrer,54
3088391549,kerry chant,52
1727813771,marc lipsitch,52
2579048630,cameron kaiser,51
2129123464,michael j ryan,48
2940716415,neil m ferguson,47
650596898,zhong nanshan,45
3193722531,amesh a adalja,45
1924537602,jenny harries,43
1537745882,david l heymann,42
3466236083,david magnus,41
379452513,anne schuchat,41
1147644266,scott gottlieb,40
2410949655,grant colfax,40
378482614,peter jay hotez,40
811085412,sean p conley,39
3119123423,li wenliang,37
519491909,jennifer nuzzo,36
596722543,michael t osterholm,35
1424447736,joe biden,34
626457221,thomas r frieden,34
511557501,mehmet oz,34
3871506047,martin cetron,34
3493384231,otto yang,34
30624507,sonia y angell,31
4060563064,alex azar,30
2389160407,adam kamradt scott,30
1573690675,boris johnson,29
4019603409,mark woolhouse,29
1382203393,marc k siegel,28
4088735888,christopher r braden,28
3860076595,daniel brooks,27
4236902286,w ian lipkin,25
2777457449,howard zucker,25
3141024557,allison arwady,25
3956024065,christopher murray,24
1610357270,scott morrison,24
3557012502,sylvie briand,24
2042248081,rebekah gee,24
1958798455,oxiris barbot,24
101606789,mark ghaly,24
1683566401,brett sutton,23
2715312316,ashish jha,23
4263417224,saskia v popescu,23
126787123,arthur caplan,22
3735475419,ngozi ezike,22
3581998725,caitlin m rivers,22
3984096320,catherine calderwood,22
4276833165,david r williams,22
3152117931,jeannette young,21
150191079,howard markel,21
3262705251,simon clarke,21
3554399752,angela rasmussen,21
728381099,aimee sisson,21
916607046,rand paul,20
1039971427,benjamin cowling,20
2731677872,stephen griffin,20
3484118075,john barrasso,20
3149808998,david n fisman,20
2244909318,jeffrey d klausner,19
263771476,isaac bogoch,19
266595329,theresa tam,19
3654087928,nichole quick,18
2978049557,ezekiel emanuel,18
3525822762,scott lindquist,18
1167424125,massimo galli,18
4114400468,nancy pelosi,18
778434352,jeremy farrar,18
764907377,ian jones,17
1783817836,barack obama,17
1717055432,chris spitters,17
4136456674,ian mackay,17
3036055166,brendan murphy,17
3280989121,justin lessler,17
614371915,jonathan ball,17
2536488729,joseph eisenberg,17
2144484367,li lanjuan,17
1525718586,tara narula,16
207120334,dali yang,16
427316134,mitt romney,16
411138994,gregory poland,16
1384688130,patrice harris,16
3853937565,stephen s morse,16
2163725778,dale fisher,16
2424861304,nancy knight,16
3475745628,hitoshi oshitani,16
2079944273,jeffrey shaman,16
3947777564,george rutherford,16
2261527908,tara c smith,15
2237012452,scott morrow,15
789041953,mark e escott,15
3078998060,benjamin chapman,15
2609827790,gavin newsom,15
2181679024,peter navarro,15
2750815464,sterghios moschos,15
2215099207,devi sridhar,15
3326079308,christian drosten,15
4161342534,bela matyas,15
3941916423,paul offit,14
574125579,nicole saphier,14
4187886963,jon lapook,14
2889703572,ogbonnaya omenka,14
3711312921,arabia mollette,14
292975879,charles chiu,14
4015936134,marybeth davis baggett,14
1731892927,john redd,14
364651867,martin makary,14
1465348438,joseph kanter,14
4054875918,craig r smith,14
3185020906,leo poon,14
3151398177,mark ali,14
4068685429,celine gounder,14
2928090971,irwin redlener,14
2751343780,brandon brown,14
2914867987,michael head,13
3423143321,lindsey o graham,13
4161265183,joshua m sharfstein,13
2902371770,robin may,13
4206594643,kentaro iwata,13
4063668002,brett p giroir,13
3235310542,hans kluge,13
142801779,shinzo abe,13
705664802,michael mina,13
3534141040,mitchell katz,12
3565266914,john edmunds,12
2240419394,georges c benjamin,12
1594985207,stephanie grisham,12
2382928045,syra madad,12
260719465,william hanage,12
257086138,leana wen,12
1371224506,matt hancock,12
1149480546,jonathan wiesman,12
3273588364,john williams,12
2402968513,amy acton,12
3904147447,william jaquis,12
3778194836,jair bolsonaro,12
220663060,barbara yaffe,12
1368305852,anastasia vasilieva,12
1979111164,brian monahan,12
621970907,ted cruz,12
1521102597,chris whitty,11
3596785005,robin thompson,11
435054161,teena chopra,11
1768011210,keiji fukuda,11
3490144489,eric cioe pena,11
2472337614,sarah park,11
965107750,robert glatter,11
1186203120,hiroshi nishiura,11
4219671993,peter beilenson,11
867320228,robert j kim farley,11
1455171136,ashley bloomfield,11
857291179,bill hanage,11
3533091917,vincent munster,11
2706948247,megan l ranney,11
2354274422,ivanka trump,11
2098438597,thomas krajewski,11
138802465,andre kalil,11
970136443,rachel levine,11
1508602125,tom inglesby,11
2656523370,shigeru omi,11
4060245217,melissa nolan,11
2713708798,veena dubal,11
3634145065,anne zink,10
2461715166,marion koopmans,10
3254641121,raina macintyre,10
885452852,julie fischer,10
1173463317,tucker carlson,10
2847949571,halik malik,10
1276267689,eric toner,10
3375710055,paul gosar,10
4059330387,kathy lofy,10
4057058443,peter collignon,10
3872757237,paul stoffels,10
3624129373,jake deutsch,10
1732324730,koji wada,10
3207913593,amir a afkhami,10
1170652244,william walters,10
577290614,bernie sanders,10
886735560,richard hatchett,10
3674584091,david hui,10
677658978,jay inslee,10
1773636903,jonathan fielding,10
4213738852,john torres,10
4273498303,frank atherton,10
2185555677,emmanuel macron,10
2674813129,eric wilke,10
867242173,albert ko,10
3626225670,martha mcsally,9
1896791301,james angel,9
1077717087,francois balloux,9
1996544893,joneigh khaldun,9
2120132946,bill de blasio,9
3301278345,stanley perlman,9
3265905291,grant tarling,9
3732691525,vicki stover hertzberg,9
3394661711,zeng guang,9
3854987576,trevor bedford,9
3084643079,jeremy samuel faust,9
3369404045,koichi nakano,9
2912393186,sung won sohn,9
1809591082,arturo casadevall,9
3368499670,mike lee,9
2729660080,arnold monto,9
2453038797,mike dewine,9
2748263748,george priestley,9
739101116,nathalie macdermott,9
1773532963,annelies wilder smith,9
364654367,joseph vinetz,9
828288972,reuterscarlos barria,9
2274412135,carlos del rio,9
3647242800,nicola sturgeon,9
2923102837,joseph habboushe,9
1325339348,krutika kuppalli,9
2683186948,ratula chakraborty,8
879185049,ron daniels,8
3183820197,steven t mnuchin,8
1079379225,tony holohan,8
2962639040,stephen curry,8
85581851,lisa hernandez,8
1178243821,david persing,8
3261184381,alfredo garzino demo,8
1939715898,adil el tayar,8
3044387564,robyn gershon,8
3697269960,rosena allin khan,8
327843832,jeffrey p henderson,8
696719955,jason kindrachuk,8
2610030272,allen cheng,8
627704754,george w bush,8
1555268631,adam marshall,8
2528769297,tim duy,8
3412125515,jagdish khubchandani,8
2147449864,martin fenstersheib,8
472615626,vincent racaniello,8
3042640713,john swartzberg,8
651486676,vineet menachery,8
1045301735,chuang shuk kwan,8
1980005122,ali khan,8
373021556,leif eric easley,8
2432708566,tom hanks,8
3925131028,rinesh parmar,8
2535894488,charlene harrington,8
2819766980,david drew pinsky,8
1413935034,ali mokdad,8
1472200657,james watt,8
2138524527,yi guan,8
2184443774,robert kadlec,8
3998670306,cara christ,8
2408514349,aaron milstone,8
297539147,gregg gonsalves,8
4083899255,eric wei,8
2444413450,sean hannity,7
3495331213,guido giustetto,7
3412282480,mary bousted,7
386945495,giovanni rezza,7
1241765930,timothy brewer,7
1908189884,azra ghani,7
4176887981,christine kreuder johnson,7
2542327194,steve kassapidis,7
2057469028,robert w amler,7
3662547129,angelo virgona,7
2605890830,yvonne maldonado,7
3679914360,ben carson,7
1603595275,scott weisenberg,7
4149216099,joseph fair,7
2677208529,zeng lingkong,7
1680479536,russell g buhr,7
2550601537,alan berger,7
3367707305,wilma wooten,7
3840446628,arthur l reingold,7
351389091,ron desantis,7
444605486,larry brilliant,7
3174993129,angela hewlett,7
3405811079,john brooks,7
836298232,chen xi,7
2004812749,zhao lijian,7
387896481,aaron carroll,7
1754199066,andrea crisanti,7
2918995526,matshidiso moeti,7
275879514,philip m tierno,7
1376197880,kate ahmad,7
928334431,linda quick,7
3579681213,rick scott,7
1591322808,nydia velazquez,7
1279202351,seema verma,7
2169059653,anders tegnell,7
1178519705,hilary jones,7
1597496427,roberto burioni,7
2163675744,francis riedo,7
2927801783,julie gerberding,7
2874523957,shira doron,7
4175305620,richard martinello,7
3016715258,bonnie henry,7
2342698632,richard ebright,7
2353040790,george diaz,7
2257520999,rhea paul,7
1607449555,philip murphy,7
107344385,james lawler,7
2725288959,bharat pankhankia,7
1682161955,mark j mulligan,7
3855282333,lauren gardner,7
3714392657,jennifer lighter,7
114263594,matt mccarthy,7
2199605021,aaron glatt,6
2288507113,lu hongzhou,6
922437454,bill gates,6
3125364925,megan coffee,6
2727554220,andrea gambotto,6
3308709279,chaand nagpaul,6
3354063604,liz cheney,6
848473446,harry holzer,6
1310301267,xi jinping,6
2036650246,wong ka-hing,6
3927083172,david gifford,6
2275161837,anissa davis,6
4158951969,jakub tolar,6
3593859419,abraar karan,6
3197551684,john roberts,6
2184212709,anjali talwalkar,6
1197759479,tom bossert,6
4172111663,james wood,6
158632892,silvio brusaferro,6
856225004,tom brandt,6
989844556,jennifer vines,6
2539937475,cassandra calabrese,6
2910383048,michael levitt,6
2874897656,jay cook,6
1769332851,michael ison,6
2100645753,victor shih,6
3765419426,rupert beale,6
2272858589,ayatollah ali khamenei,6
3953786620,sayed attaullah sayedzai,6
3262294732,nicola spurrier,6
4095462578,prince charles,6
432740546,norio ohmagari,6
552134346,didier houssin,6
1365004373,vladimir putin,6
2830130953,peter openshaw,6
3630136062,judd deere,6
121205522,gabriel leung,6
1084577610,frank esper,6
1185591900,baruch fischhoff,6
2300568661,angela merkel,6
733316117,james turner,6
3675000547,mike catton,6
1585803235,tony bartone,6
3127400519,fabrizio pregliasco,6
692955253,jonathan ernst,6
3390930686,john nicholls,6
1352013565,kathleen toomey,6
3551296606,james cherry,6
2014218788,leong hoe nam,6
2744001935,jerry moran,6
2338128423,paul calle,6
1737749214,ashwin vasan,6
3222377433,giridhara r babu,6
4040869848,sherlita amler,6
2888098860,danielle ompad,6
1018695175,jerome powell,6
3630735949,harvey fineberg,6
3830044776,jeremy siegel,6
3314682457,aimee moulin,6
3322196755,maimuna majumder,6
3637800339,ralph northam,6
1483269313,rick hasen,6
4021677111,nick phin,6
3643686431,james phillips,6
3828655244,christina tan,5
2139289320,lucy jones,5
2989750782,richard horton,5
2729223871,erik gordon,5
796589485,john bessler,5
1852361408,robert levin,5
3497359230,paul pottinger,5
1669548310,mark jones,5
3824959764,jill biden,5
78593933,eli perencevich,5
2060029691,adam j levitin,5
568835760,romano paolucci,5
2357564833,hossein hassanian,5
4126825913,esther choo,5
3682212341,joe bresee,5
1342489984,drew hammill,5
3619218305,nick scriven,5
4101714236,henry wu,5
4218597095,margaret brennan,5
3821385976,john thune,5
2065648023,rahuldeb sarkar,5
3038336689,benjamin schwartz,5
3718144182,john ioannidis,5
388448204,bob wachter,5
4000937576,robert jenrick,5
763017629,nathan grubaugh,5
1436072349,habib zaidi,5
80013912,elliot berkman,5
964643599,robert chesney,5
2078894567,mike pompeo,5
285162408,kaitlin wowak,5
1228195726,christina ghaly,5
2834032681,gerard krause,5
2260318416,june andrew,5
761480792,alfred m wu,5
1838176317,john dwyer,5
4060988063,derek gatherer,5
3028662752,xiao qiang,5
3883058560,donald schaffner,5
3662508640,shane oliver,5
4204081912,natalie dean,5
274094295,polly price,5
1688900742,jim acosta,5
235768544,donald milton,5
2621572662,nate smith,5
2382221596,jerry falwell jr,5
499206026,eswar prasad,5
3111225005,alexander billioux,5
1273566734,lisa anderson,5
797132426,gregory c gray,5
3444104940,choi jae wook,5
1678341727,michael s phillips,5
3615663778,bao ping zhu,5
4079874260,janet woodcock,5
4240698825,anderson cooper,5
3129666689,chris farnitano,5
3273342479,amged el hawrani,5
2070225147,gary bettman,5
2265026167,maria repnikova,5
519012533,erin gustafson,5
2669381224,peter dutton,5
4268975347,carl bergstrom,5
