disambiguated_entity_id,entity_name,number_of_unique_news_appeared_in
1591549103,peter horby,273
2705532516,helena maier,271
43133256,bruce aylward,268
3602808180,michael skinner,265
582997773,anthony fauci,175
2099344537,donald trump,95
3199289592,tedros adhanom ghebreyesus,52
3088391549,kerry chant,47
2799153759,paul hunter,34
1924537602,jenny harries,31
239897052,jerome m adams,29
85896933,nancy messonnier,26
3138278937,andrew m cuomo,25
293923066,mike pence,22
1610357270,scott morrison,21
1683566401,brett sutton,21
1573690675,boris johnson,20
3152117931,jeannette young,17
3262705251,simon clarke,16
2750815464,sterghios moschos,15
3984096320,catherine calderwood,15
432873787,mike ryan,14
3036055166,brendan murphy,14
3151398177,mark ali,14
2902371770,robin may,13
650596898,zhong nanshan,13
4136456674,ian mackay,12
1079774693,stephen m hahn,12
2731677872,stephen griffin,12
1371224506,matt hancock,12
2777457449,howard zucker,11
2914867987,michael head,11
4273498303,frank atherton,10
3647242800,nicola sturgeon,9
3596785005,robin thompson,9
3871506047,martin cetron,9
3235310542,hans kluge,9
2857277559,jeffrey duchin,9
879185049,ron daniels,8
2683186948,ratula chakraborty,8
1555268631,adam marshall,8
3261184381,alfredo garzino demo,8
1167424125,massimo galli,8
3732691525,vicki stover hertzberg,7
1376197880,kate ahmad,7
2354274422,ivanka trump,7
3697269960,rosena allin khan,7
1147644266,scott gottlieb,7
3412282480,mary bousted,7
2542327194,steve kassapidis,7
1939715898,adil el tayar,7
2748263748,george priestley,7
886735560,richard hatchett,7
3405811079,john brooks,7
1178519705,hilary jones,7
1731892927,john redd,7
2550601537,alan berger,7
3626225670,martha mcsally,7
3662547129,angelo virgona,7
3308709279,chaand nagpaul,6
2539937475,cassandra calabrese,6
427316134,mitt romney,6
916607046,rand paul,6
1079379225,tony holohan,6
764907377,ian jones,6
3956024065,christopher murray,6
4149216099,joseph fair,6
2674813129,eric wilke,6
2042248081,rebekah gee,6
552134346,didier houssin,6
3262294732,nicola spurrier,6
614371915,jonathan ball,6
3495331213,guido giustetto,6
4060563064,alex azar,6
1521102597,chris whitty,6
364651867,martin makary,6
2260318416,june andrew,5
3925131028,rinesh parmar,5
4000937576,robert jenrick,5
3565266914,john edmunds,5
3656494407,stephen ferguson,5
1747682680,jeremy mcanulty,5
220663060,barbara yaffe,5
4063668002,brett p giroir,5
733316117,james turner,5
4276833165,david r williams,5
1077717087,francois balloux,5
3280989121,justin lessler,5
2004812749,zhao lijian,5
2809313584,susan crossland,5
922437454,bill gates,5
2579048630,cameron kaiser,5
1436072349,habib zaidi,5
4060988063,derek gatherer,5
4062745104,david nabarro,5
979563825,andrew pollard,5
673387150,paul kelly,5
3254641121,raina macintyre,5
3619218305,nick scriven,5
2215099207,devi sridhar,5
623299733,barbara ferrer,5
1968519487,philip lowe,5
3319680552,richard tedder,5
3554762025,martin marshall,5
1273566734,lisa anderson,5
3273342479,amged el hawrani,5
3662508640,shane oliver,5
1677973196,paul kellam,4
2144484367,li lanjuan,4
482816902,susan hopkins,4
1276267689,eric toner,4
2747995895,alison barnett,4
207120334,dali yang,4
3854987576,trevor bedford,4
230746344,margaret harris,4
3194248999,anton sebastianpillai,4
2989750782,richard horton,4
1455171136,ashley bloomfield,4
778072767,giri shankar,4
2120132946,bill de blasio,4
1824413672,jared kushner,4
2669381224,peter dutton,4
2822615092,kean seng lim,4
1197759479,tom bossert,4
1625383805,jake dunning,4
2216734509,jose garcia lobera,4
1555081186,katherine arden,4
158632892,silvio brusaferro,4
4172111663,james wood,4
3965079860,deborah l birx,4
1413935034,ali mokdad,4
1581019421,sergio cattaneo,4
3770679899,gauden galea,4
228353788,keith chappell,4
2380084628,steve walsh,4
2402968513,amy acton,4
2622261057,sam fink,4
2048681338,tony blakely,4
3778194836,jair bolsonaro,4
1347135292,richard greil,3
4019603409,mark woolhouse,3
3259264279,david ho,3
2834032681,gerard krause,3
811085412,sean p conley,3
2522687266,lilian peake,3
621970907,ted cruz,3
2181679024,peter navarro,3
1838176317,john dwyer,3
3011660620,linda bauld,3
2169059653,anders tegnell,3
1669548310,mark jones,3
2898939726,kerryn coleman,3
2288507113,lu hongzhou,3
2677208529,zeng lingkong,3
2184212709,anjali talwalkar,3
1796851109,alfa saadu,3
3038336689,benjamin schwartz,3
106953770,gloria addo ayensa,3
944140160,alina alonso,3
3860076595,daniel brooks,3
3084643079,jeremy samuel faust,3
2887531316,katherine henderson,3
1406423602,andrew robertson,3
2796127330,amitava banerjee,3
3602442492,john mathews,3
1368305852,anastasia vasilieva,3
1221471271,brendan wren,3
2569988929,eleanor riley,3
3595171670,sarah cody,3
114263594,matt mccarthy,3
1313982872,keith willett,3
2057469028,robert w amler,3
4161342534,bela matyas,3
3557012502,sylvie briand,3
11122582,angelo giupponi,3
3183820197,steven t mnuchin,3
2323358483,maria van kerkhove,3
2461715166,marion koopmans,3
2111895739,robin howe,3
4057058443,peter collignon,3
2931188104,om shrivastav,3
30624507,sonia y angell,3
1225795194,norman swan,3
2910383048,michael levitt,3
1310301267,xi jinping,3
1479914952,liise anne pirofski,3
2125879526,jon bennett,3
4481401,lucy greenfield,3
2708145376,krista reitberg,3
863473815,michelle steik,3
386945495,giovanni rezza,3
2725288959,bharat pankhankia,3
435054161,teena chopra,3
1796965758,colleen smith,3
4093605281,gladys berejiklian,3
1469836265,bill hemmer,3
195922728,angie bone,3
1143172578,diana adama,2
1737749214,ashwin vasan,2
335499251,richard vautrey,2
15220380,simon walsh,2
2830130953,peter openshaw,2
2472537679,peter li,2
1465348438,joseph kanter,2
1379668873,rowland kao,2
983669375,bernard wood,2
2609827790,gavin newsom,2
2497578321,margaret zacharin,2
2042229995,arieh warshel,2
4121780498,mike turner,2
1131813767,john clifford,2
3834164154,alexander edwards,2
2240419394,georges c benjamin,2
1774466715,ai fen,2
1732780641,iain livingstone,2
3423143321,lindsey o graham,2
2082048647,katie sanderson,2
1140700307,steve mclaughlin,2
3066708006,ellie cannon,2
1908189884,azra ghani,2
651811320,lisa jackson,2
1474113100,joseph einstein,2
2410949655,grant colfax,2
1374311314,vinayak kumar,2
1727813771,marc lipsitch,2
2079944273,jeffrey shaman,2
353885293,kellyanne conway,2
3304146263,william barr,2
1279202351,seema verma,2
1345286597,jennifer cole,2
3326079308,christian drosten,2
3740823022,gen paul friedrichs,2
2257400472,paul williams,2
2966070017,harry nespolon,2
2436317933,andrew blythe,2
28333573,bill bowtell,2
473957981,clare gerada,2
1365004373,vladimir putin,2
632496526,ami jones,2
2830443490,yvonne doyle,2
2956670815,geoffrey annison,2
2148014952,keith neal,2
43674942,sanjay gupta,2
1178243821,david persing,2
213714540,andrew preston,2
3878077197,rae cooper,2
2453038797,mike dewine,2
3554399752,angela rasmussen,2
2658410690,hassan rouhani,2
324868173,cary cooper,2
2490006003,hajira dambha miller,2
3083840310,damnha miller,2
1464883616,lorenzo grazioli,2
1590075706,dan suan,2
2066697375,david grabowski,2
2651308147,bhasha mukherjee,2
2472843360,mark veitch,2
2879228373,shondipon laha,2
4121978694,nestor forster,2
1585803235,tony bartone,2
3077178347,charles swanton,2
3228947608,deborah peel,2
1782914079,gabriel cade,2
257086138,leana wen,2
3711312921,arabia mollette,2
291187523,tim colbourn,2
78546836,francis ware,2
2041521304,nicole mccullough,2
2404699010,paul mckay,2
578950823,lara trump,2
716934319,javad amini saman,2
286162157,bob cooper,2
3253880457,peter graham,2
1423141536,filippo anelli,2
915513661,patrick vallance,2
1279721709,joanne medhurst,2
263225210,brendan crabb,2
2022773707,knut erik hovda,2
2777622567,mary louise mclaws,2
4095462578,prince charles,2
243042899,wendy barclay,2
2871038704,beth potter,2
4236096560,dominic raab,2
2486635124,sonya babu narayan,2
2700862704,sanjaya senanayake,2
626457221,thomas r frieden,2
2663500559,rob harwood,2
2381858974,larry marshall,2
847918914,nick coatsworth,2
131468522,mei zhongming,2
2138524527,yi guan,2
1784634597,sarah zaidi,2
2770490889,muriel bowser,2
