entity_id,entity_name,sex,pronoun,race,urm,gender_urm,pronoun_urm,public_health_researcher,practitioner,non_public_health_researcher,policymaker,industry_expert,celebrity,journalist,expertise_label_by_relative_expertise,expertise_label_by_relative_expertise_merged_others,expertise_label_by_relative_reach,expertise_label_by_relative_reach_merged_others,news_count
1066385753,a chris heath,Male,He,White/European,No,non_urm_male,non_urm_he,No,Yes,No,No,No,No,No,practitioner,practitioner,practitioner,practitioner,1
375375792,aaron adalja,Male,He,South Asian,Yes,urm_male,urm_he,No,No,Yes,No,No,No,No,non_public_health_researcher,researcher,non_public_health_researcher,researcher,1
3446614910,aaron bernstein,Male,He,White/European,No,non_urm_male,non_urm_he,No,Yes,No,No,No,No,No,practitioner,practitioner,practitioner,practitioner,1
199424035,aaron c davis,Male,He,White/European,No,non_urm_male,non_urm_he,No,No,No,No,No,No,Yes,journalist,other,journalist,other,1
387896481,aaron carroll,Male,He,White/European,No,non_urm_male,non_urm_he,Yes,Yes,No,No,No,No,No,public_health_researcher,researcher,public_health_researcher,researcher,7
2199605021,aaron glatt,Male,He,White/European,No,non_urm_male,non_urm_he,No,Yes,No,No,No,No,No,practitioner,practitioner,practitioner,practitioner,6
2408514349,aaron milstone,Male,He,White/European,No,non_urm_male,non_urm_he,No,Yes,No,No,No,No,No,practitioner,practitioner,practitioner,practitioner,8
1815177879,aaron naeger,Male,He,White/European,No,non_urm_male,non_urm_he,No,No,Yes,No,No,No,No,non_public_health_researcher,researcher,non_public_health_researcher,researcher,1
222194291,aaron pallas,Male,He,White/European,No,non_urm_male,non_urm_he,No,No,Yes,No,No,No,No,non_public_health_researcher,researcher,non_public_health_researcher,researcher,3
813583036,aaron reeves,Male,He,White/European,No,non_urm_male,non_urm_he,Yes,No,No,No,No,No,No,public_health_researcher,researcher,public_health_researcher,researcher,1
2578194842,aaron rupar,Male,He,White/European,No,non_urm_male,non_urm_he,No,No,No,No,No,No,Yes,journalist,other,journalist,other,3
497672211,aaron shakow,Male,He,White/European,No,non_urm_male,non_urm_he,Yes,No,No,No,No,No,No,public_health_researcher,researcher,public_health_researcher,researcher,1
2122394301,aaron steckelberg,Male,He,White/European,No,non_urm_male,non_urm_he,No,No,No,No,No,No,Yes,journalist,other,journalist,other,1
2037608169,abbey hardy fairbanks,Female,She,White/European,No,non_urm_female,non_urm_she,Yes,Yes,No,No,No,No,No,public_health_researcher,researcher,public_health_researcher,researcher,1
