entity_id,entity_name,sex,pronoun,race,urm,gender_urm,pronoun_urm,public_health_researcher,practitioner,non_public_health_researcher,policymaker,industry_expert,celebrity,journalist,expertise_label_by_relative_expertise,expertise_label_by_relative_expertise_merged_others,expertise_label_by_relative_reach,expertise_label_by_relative_reach_merged_others,news_count
2408514349,aaron milstone,Male,He,White/European,No,non_urm_male,non_urm_he,No,Yes,No,No,No,No,No,practitioner,practitioner,practitioner,practitioner,1
3379078078,abdul mabud chowdhury,Male,He,South Asian,Yes,urm_male,urm_he,No,Yes,No,No,No,No,No,practitioner,practitioner,practitioner,practitioner,1
3563296744,adam finn,Male,He,White/European,No,non_urm_male,non_urm_he,Yes,Yes,No,No,No,No,No,public_health_researcher,researcher,public_health_researcher,researcher,1
1555268631,adam marshall,Male,He,White/European,No,non_urm_male,non_urm_he,No,No,No,Yes,No,No,No,policymaker,policymaker,policymaker,policymaker,8
997347617,adam wolanski,Male,He,White/European,No,non_urm_male,non_urm_he,No,No,No,No,Yes,No,No,industry_expert,other,industry_expert,other,1
1939715898,adil el tayar,Male,He,Middle Eastern,Yes,urm_male,urm_he,No,Yes,No,No,No,No,No,practitioner,practitioner,practitioner,practitioner,7
3756797925,adriano decarli,Male,He,White/European,No,non_urm_male,non_urm_he,Yes,No,No,No,No,No,No,public_health_researcher,researcher,public_health_researcher,researcher,1
1583771642,ahmed kazmi,Male,He,South Asian,Yes,urm_male,urm_he,No,Yes,No,No,No,No,No,practitioner,practitioner,practitioner,practitioner,1
1774466715,ai fen,Female,She,East Asian,No,non_urm_female,non_urm_she,No,Yes,No,No,No,No,No,practitioner,practitioner,practitioner,practitioner,2
728381099,aimee sisson,Female,She,White/European,No,non_urm_female,non_urm_she,No,Yes,No,Yes,No,No,No,practitioner,practitioner,policymaker,policymaker,1
2159166123,al franken,Male,He,White/European,No,non_urm_male,non_urm_he,No,No,No,Yes,No,No,No,policymaker,policymaker,policymaker,policymaker,1
2244368943,alain gauthier,Male,He,White/European,No,non_urm_male,non_urm_he,No,Yes,No,No,No,No,No,practitioner,practitioner,practitioner,practitioner,1
2550601537,alan berger,Male,He,White/European,No,non_urm_male,non_urm_he,No,Yes,No,No,No,No,No,practitioner,practitioner,practitioner,practitioner,7
4111465800,alberto montaner,Male,He,Latinx,Yes,urm_male,urm_he,No,No,No,No,No,No,Yes,journalist,other,journalist,other,1
