"","entity_id","entity_name","sex","pronoun","race","urm","gender_urm","pronoun_urm","public_health_researcher","practitioner","non_public_health_researcher","policymaker","industry_expert","celebrity","journalist","expertise_label_by_relative_expertise","expertise_label_by_relative_reach","news_count","weights","subclass"
"1",1066385753,"a chris heath","Male","He","White/European","No","non_urm_male","non_urm_he","No","Yes","No","No","No","No","No","practitioner","practitioner",1,1.93632713104326,"1"
"2",375375792,"aaron adalja","Male","He","South Asian","Yes","urm_male","urm_he","No","No","Yes","No","No","No","No","non_public_health_researcher","non_public_health_researcher",1,1,"4"
"3",3446614910,"aaron bernstein","Male","He","White/European","No","non_urm_male","non_urm_he","No","Yes","No","No","No","No","No","practitioner","practitioner",1,1.93632713104326,"1"
"4",199424035,"aaron c davis","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","No","No","No","No","Yes","journalist","journalist",1,0.518430948681574,"2"
"5",387896481,"aaron carroll","Male","He","White/European","No","non_urm_male","non_urm_he","Yes","Yes","No","No","No","No","No","public_health_researcher","public_health_researcher",7,1.00241704783613,"3"
"6",2199605021,"aaron glatt","Male","He","White/European","No","non_urm_male","non_urm_he","No","Yes","No","No","No","No","No","practitioner","practitioner",6,1.93632713104326,"1"
"7",2408514349,"aaron milstone","Male","He","White/European","No","non_urm_male","non_urm_he","No","Yes","No","No","No","No","No","practitioner","practitioner",8,1.93632713104326,"1"
"8",1815177879,"aaron naeger","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","Yes","No","No","No","No","non_public_health_researcher","non_public_health_researcher",1,0.672591242261973,"4"
"9",222194291,"aaron pallas","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","Yes","No","No","No","No","non_public_health_researcher","non_public_health_researcher",3,0.672591242261973,"4"
"10",813583036,"aaron reeves","Male","He","White/European","No","non_urm_male","non_urm_he","Yes","No","No","No","No","No","No","public_health_researcher","public_health_researcher",1,0.63551249429112,"5"
"11",2578194842,"aaron rupar","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","No","No","No","No","Yes","journalist","journalist",3,0.518430948681574,"2"
"12",497672211,"aaron shakow","Male","He","White/European","No","non_urm_male","non_urm_he","Yes","No","No","No","No","No","No","public_health_researcher","public_health_researcher",1,0.63551249429112,"5"
"13",2122394301,"aaron steckelberg","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","No","No","No","No","Yes","journalist","journalist",1,0.518430948681574,"2"
"14",2037608169,"abbey hardy fairbanks","Female","She","White/European","No","non_urm_female","non_urm_she","Yes","Yes","No","No","No","No","No","public_health_researcher","public_health_researcher",1,1.64965012722646,"6"
"15",2281101503,"abdu sharkawy","Male","He","Middle Eastern","Yes","urm_male","urm_he","No","Yes","No","No","No","No","No","practitioner","practitioner",1,1,"1"
"16",2320021325,"abdul el sayed","Male","He","Middle Eastern","Yes","urm_male","urm_he","Yes","Yes","No","Yes","No","No","No","public_health_researcher","policymaker",2,1,"19"
"17",3379078078,"abdul mabud chowdhury","Male","He","South Asian","Yes","urm_male","urm_he","No","Yes","No","No","No","No","No","practitioner","practitioner",1,1,"1"
"18",3126793834,"abdullah abdullah","Male","He","Middle Eastern","Yes","urm_male","urm_he","No","No","No","Yes","No","No","No","policymaker","policymaker",4,1,"7"
"19",702769743,"abelardo avila","Male","He","Latinx","Yes","urm_male","urm_he","Yes","No","No","No","No","No","No","public_health_researcher","public_health_researcher",1,1,"5"
"20",1838309198,"abhijit duggal","Male","He","South Asian","Yes","urm_male","urm_he","Yes","Yes","No","No","No","No","No","public_health_researcher","public_health_researcher",2,1,"3"
"21",3927297710,"abi gewirtz","Female","She","White/European","No","non_urm_female","non_urm_she","Yes","Yes","No","No","No","No","No","public_health_researcher","public_health_researcher",2,1.64965012722646,"6"
"22",607022103,"abigail carlson","Female","She","White/European","No","non_urm_female","non_urm_she","Yes","Yes","No","No","No","No","No","public_health_researcher","public_health_researcher",3,1.64965012722646,"6"
"23",3593859419,"abraar karan","Male","He","South Asian","Yes","urm_male","urm_he","No","Yes","No","No","No","No","No","practitioner","practitioner",6,1,"1"
"24",1375905867,"abraham l newman","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","Yes","No","No","No","No","non_public_health_researcher","non_public_health_researcher",1,0.672591242261973,"4"
"25",2916331875,"adam bernheim","Male","He","White/European","No","non_urm_male","non_urm_he","Yes","Yes","No","No","No","No","No","public_health_researcher","public_health_researcher",3,1.00241704783613,"3"
"26",98505534,"adam blake","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","Yes","No","No","No","No","non_public_health_researcher","non_public_health_researcher",1,0.672591242261973,"4"
"27",3016339394,"adam crum","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","No","Yes","No","No","No","policymaker","policymaker",1,0.808206106870229,"7"
"28",3563296744,"adam finn","Male","He","White/European","No","non_urm_male","non_urm_he","Yes","Yes","No","No","No","No","No","public_health_researcher","public_health_researcher",1,1.00241704783613,"3"
"29",2060029691,"adam j levitin","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","Yes","No","No","No","No","non_public_health_researcher","non_public_health_researcher",5,0.672591242261973,"4"
"30",2265604081,"adam jarrett","Male","He","White/European","No","non_urm_male","non_urm_he","No","Yes","No","No","No","No","No","practitioner","practitioner",1,1.93632713104326,"1"
"31",2389160407,"adam kamradt scott","Male","He","White/European","No","non_urm_male","non_urm_he","Yes","No","No","No","No","No","No","public_health_researcher","public_health_researcher",30,0.63551249429112,"5"
"32",1139164083,"adam kucharski","Male","He","White/European","No","non_urm_male","non_urm_he","Yes","No","No","No","No","No","No","public_health_researcher","public_health_researcher",5,0.63551249429112,"5"
"33",1555268631,"adam marshall","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","No","Yes","No","No","No","policymaker","policymaker",8,0.808206106870229,"7"
"34",1325319177,"adam rosh","Male","He","White/European","No","non_urm_male","non_urm_he","No","Yes","No","No","No","No","No","practitioner","practitioner",1,1.93632713104326,"1"
"35",59034713,"adam rubinstein","Male","He","White/European","No","non_urm_male","non_urm_he","No","Yes","No","No","No","No","No","practitioner","practitioner",1,1.93632713104326,"1"
"36",3591292980,"adam schechter","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","No","No","Yes","No","No","industry_expert","industry_expert",1,0.547501843000166,"8"
"37",1634545983,"adam schefter","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","No","No","No","No","Yes","journalist","journalist",1,0.518430948681574,"2"
"38",159752077,"adam schiff","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","No","Yes","No","No","No","policymaker","policymaker",2,0.808206106870229,"7"
"39",1396662471,"adam winkler","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","Yes","No","No","No","No","non_public_health_researcher","non_public_health_researcher",2,0.672591242261973,"4"
"40",997347617,"adam wolanski","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","No","No","Yes","No","No","industry_expert","industry_expert",1,0.547501843000166,"8"
"41",576298294,"adams dudley","Male","He","White/European","No","non_urm_male","non_urm_he","Yes","Yes","No","No","No","No","No","public_health_researcher","public_health_researcher",1,1.00241704783613,"3"
"42",190197837,"adarsh pratap singh","Male","He","South Asian","Yes","urm_male","urm_he","No","Yes","No","No","No","No","No","practitioner","practitioner",1,1,"1"
"43",2985552361,"adegoke oke","Male","He","Black/African","Yes","urm_male","urm_he","No","No","Yes","No","No","No","No","non_public_health_researcher","non_public_health_researcher",1,1,"4"
"44",1939715898,"adil el tayar","Male","He","Middle Eastern","Yes","urm_male","urm_he","No","Yes","No","No","No","No","No","practitioner","practitioner",8,1,"1"
"45",2183159460,"adisu kebede","Male","He","Black/African","Yes","urm_male","urm_he","Yes","No","No","Yes","No","No","No","public_health_researcher","policymaker",1,1,"15"
"46",2013657323,"adit ginde","Male","He","South Asian","Yes","urm_male","urm_he","Yes","Yes","No","No","No","No","No","public_health_researcher","public_health_researcher",2,1,"3"
"47",2921235134,"adnan munkarah","Male","He","Middle Eastern","Yes","urm_male","urm_he","Yes","Yes","No","No","No","No","No","public_health_researcher","public_health_researcher",3,1,"3"
"48",1530348847,"adrian bangerter","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","Yes","No","No","No","No","non_public_health_researcher","non_public_health_researcher",1,0.672591242261973,"4"
"49",914193107,"adrian hyzler","Male","He","White/European","No","non_urm_male","non_urm_he","No","Yes","No","No","Yes","No","No","practitioner","practitioner",1,1.09614194347019,"9"
"50",3756797925,"adriano decarli","Male","He","White/European","No","non_urm_male","non_urm_he","Yes","No","No","No","No","No","No","public_health_researcher","public_health_researcher",2,0.63551249429112,"5"
"51",1646578449,"afruz eslami","Female","She","Middle Eastern","Yes","urm_female","urm_she","No","Yes","No","No","No","No","Yes","practitioner","practitioner",1,1,"54"
"52",4134382570,"afshon ostovar","Male","He","Middle Eastern","Yes","urm_male","urm_he","No","No","Yes","No","No","No","No","non_public_health_researcher","non_public_health_researcher",1,1,"4"
"53",3580938791,"agnes buzyn","Female","She","White/European","No","non_urm_female","non_urm_she","Yes","Yes","No","Yes","No","No","No","public_health_researcher","policymaker",1,1.2674141221374,"10"
"54",1583771642,"ahmed kazmi","Male","He","South Asian","Yes","urm_male","urm_he","No","Yes","No","No","No","No","No","practitioner","practitioner",1,1,"1"
"55",3791039098,"ahmed rahman","Male","He","South Asian","Yes","urm_male","urm_he","No","No","Yes","No","No","No","No","non_public_health_researcher","non_public_health_researcher",1,1,"4"
"56",1774466715,"ai fen","Female","She","East Asian","No","non_urm_female","non_urm_she","No","Yes","No","No","No","No","No","practitioner","practitioner",4,1.80254452926209,"11"
"57",3282268929,"aileen marty","Female","She","White/European","No","non_urm_female","non_urm_she","Yes","Yes","No","No","No","No","No","public_health_researcher","public_health_researcher",4,1.64965012722646,"6"
"58",3314682457,"aimee moulin","Female","She","White/European","No","non_urm_female","non_urm_she","No","Yes","No","No","No","No","No","practitioner","practitioner",6,1.80254452926209,"11"
"59",728381099,"aimee sisson","Female","She","White/European","No","non_urm_female","non_urm_she","No","Yes","No","Yes","No","No","No","practitioner","policymaker",21,0.866607946760619,"12"
"60",2242365873,"ainsley earhardt","Female","She","White/European","No","non_urm_female","non_urm_she","No","No","No","No","No","No","Yes","journalist","journalist",3,1.10925817185359,"13"
"61",1228439203,"ajay kirtane","Male","He","South Asian","Yes","urm_male","urm_he","Yes","Yes","No","No","No","No","No","public_health_researcher","public_health_researcher",1,1,"3"
"62",2805969500,"ajay kumar bharti","Male","He","South Asian","Yes","urm_male","urm_he","No","Yes","No","No","No","No","No","practitioner","practitioner",1,1,"1"
"63",3895509670,"aki hiro sato","Male","He","East Asian","No","non_urm_male","non_urm_he","No","No","Yes","No","No","No","No","non_public_health_researcher","non_public_health_researcher",3,0.672591242261973,"4"
"64",1543490278,"akiko iwasaki","Female","She","East Asian","No","non_urm_female","non_urm_she","Yes","No","No","No","No","No","No","public_health_researcher","public_health_researcher",2,0.773479928601268,"14"
"65",2159166123,"al franken","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","No","Yes","No","No","No","policymaker","policymaker",1,0.808206106870229,"7"
"66",1444771038,"al gore","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","No","Yes","No","No","No","policymaker","policymaker",3,0.808206106870229,"7"
"67",3271094831,"al holland","Male","He","White/European","No","non_urm_male","non_urm_he","Yes","No","No","Yes","No","No","No","public_health_researcher","policymaker",1,1.07294317217981,"15"
"68",1034292013,"alaa swilam dubai","Female","She","Middle Eastern","Yes","urm_female","urm_she","No","No","No","No","No","No","Yes","journalist","journalist",1,1,"13"
"69",2244368943,"alain gauthier","Male","He","White/European","No","non_urm_male","non_urm_he","No","Yes","No","No","No","No","No","practitioner","practitioner",1,1.93632713104326,"1"
"70",2550601537,"alan berger","Male","He","White/European","No","non_urm_male","non_urm_he","No","Yes","No","No","No","No","No","practitioner","practitioner",7,1.93632713104326,"1"
"71",3516750344,"alan blinder","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","No","Yes","Yes","No","No","policymaker","policymaker",2,0.0653095843935539,"16"
"72",2425352896,"alan dershowitz","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","No","No","Yes","No","No","industry_expert","industry_expert",1,0.547501843000166,"8"
"73",1692060944,"alan erera","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","Yes","No","No","No","No","non_public_health_researcher","non_public_health_researcher",1,0.672591242261973,"4"
"74",1412394461,"alan jones","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","No","No","No","No","Yes","journalist","journalist",1,0.518430948681574,"2"
"75",99551127,"alan kraut","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","Yes","No","No","No","No","non_public_health_researcher","non_public_health_researcher",2,0.672591242261973,"4"
"76",1858048398,"alan lerner","Male","He","White/European","No","non_urm_male","non_urm_he","Yes","Yes","No","No","No","No","No","public_health_researcher","public_health_researcher",1,1.00241704783613,"3"
"77",2091593229,"alan melnick","Male","He","White/European","No","non_urm_male","non_urm_he","No","Yes","No","Yes","No","No","No","practitioner","policymaker",1,1.95275657336726,"17"
"78",4073020378,"alan rowan","Male","He","White/European","No","non_urm_male","non_urm_he","Yes","No","No","No","No","No","No","public_health_researcher","public_health_researcher",1,0.63551249429112,"5"
"79",1193530749,"alan v deardorff","Male","He","White/European","No","non_urm_male","non_urm_he","No","No","Yes","No","Yes","No","No","non_public_health_researcher","industry_expert",3,0.530160155665319,"18"
