orig_index,who_shouldnt_code,disambiguated_entity,disambiguated_entity_id,sex_at_birth,comment/reference,pronoun_denoting_gender,comment/reference.1,race_ethnicity,comment/reference.2,public_health_researcher,practitioner/clinician/physician,non_public_health_researcher,politician/govt service/policymaker,industry_expert,celebrity,journalist,comment/reference.3
27,Shagun,abraham l newman,1375905867,Male,,He,,White/European,https://gufaculty360.georgetown.edu/s/contact/00336000014RcmSAAS/abraham-newman,No,No,Yes,No,No,No,No,
194,Syed,allison chamberlain,2366743674,Female,https://sph.emory.edu/faculty/profile/index.php?FID=allison-chamberlain-1545,She,https://sph.emory.edu/faculty/profile/index.php?FID=allison-chamberlain-1545,White/European,https://sph.emory.edu/faculty/profile/index.php?FID=allison-chamberlain-1545,Yes,Yes,No,Yes,No,No,No,https://sph.emory.edu/faculty/profile/index.php?FID=allison-chamberlain-1545
252,Paula,anand parekh,1880581961,Male,https://bipartisanpolicy.org/person/anand-parekh/,He,https://bipartisanpolicy.org/person/anand-parekh/,South Asian,https://www.amazon.com/Anand-K-Parekh/e/B07YQ9X9DL/ref=dp_byline_cont_book_1,Yes,Yes,No,Yes,Yes,No,No,https://bipartisanpolicy.org/person/anand-parekh/
317,Paula,andrew saul,3972913906,Male,https://www.ssa.gov/agency/commissioner/,He,https://www.ssa.gov/agency/commissioner/bio.html,White/European,https://www.ssa.gov/agency/commissioner/,No,No,No,Yes,No,No,No,https://www.ssa.gov/agency/commissioner/
368,Syed,ann marie kimball,4247234877,Female,https://epi.washington.edu/faculty/kimball-ann-marie,She,https://www.chathamhouse.org/about-us/our-people/ann-marie-kimball,White/European,https://epi.washington.edu/faculty/kimball-ann-marie,Yes,Yes,No,No,Yes,No,No,"https://epi.washington.edu/faculty/kimball-ann-marie, https://www.chathamhouse.org/about-us/our-people/ann-marie-kimball"
379,Syed,anne grete hestnes,4206382683,Female,https://www.ntnu.edu/employees/annegrete.hestnes,She,https://www.ntnu.edu/employees/annegrete.hestnes,White/European,https://www.ntnu.edu/employees/annegrete.hestnes,No,No,Yes,No,No,No,No,https://www.ntnu.edu/employees/annegrete.hestnes
387,Syed,anne w rimoin,2421491051,Female,https://www.ph.ucla.edu/epi/faculty/rimoin/rimoin.html,She,https://www.ph.ucla.edu/epi/faculty/rimoin/rimoin.html,White/European,https://www.ph.ucla.edu/epi/faculty/rimoin/rimoin.html,Yes,No,No,No,No,No,No,https://www.ph.ucla.edu/epi/faculty/rimoin/rimoin.html
521,Simone,barry eichengreen,502605650,Male,https://en.wikipedia.org/wiki/Barry_Eichengreen,He,https://en.wikipedia.org/wiki/Barry_Eichengreen,White/European,https://en.wikipedia.org/wiki/Barry_Eichengreen,No,No,Yes,Yes,No,No,No,https://en.wikipedia.org/wiki/Barry_Eichengreen
539,Simone,ben musser,2455332610,Male,https://www.latimes.com/california/story/2020-04-01/column-fearing-exposure-three-er-doctors-room-together-instead-of-taking-risk-home-to-their-families,He,https://www.latimes.com/california/story/2020-04-01/column-fearing-exposure-three-er-doctors-room-together-instead-of-taking-risk-home-to-their-families,White/European,https://www.latimes.com/california/story/2020-04-01/column-fearing-exposure-three-er-doctors-room-together-instead-of-taking-risk-home-to-their-families,No,Yes,No,No,No,No,No,https://www.latimes.com/california/story/2020-04-01/column-fearing-exposure-three-er-doctors-room-together-instead-of-taking-risk-home-to-their-families
562,Simone,benny mathew,2988961266,Male,https://www.linkedin.com/in/benkmat/,He,https://www.linkedin.com/in/benkmat/,Black/African,https://www.linkedin.com/in/benkmat/,No,Yes,No,No,No,No,No,https://www.linkedin.com/in/benkmat/
